image_url,_id,product_name,category,cost,in_stock
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/16066811_1.jpeg,16066811_1,black skinny cotton twill cargo pants,pants,17.6,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/20373492_0.jpeg,20373492_0,gray easy cargo pants,pants,25.66,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/2307458_0.jpeg,2307458_0,black lace sheath dress,dresses,18.37,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/2502265_0.jpeg,2502265_0,black cropped straight-leg pants red grain de poudre wool,pants,19.43,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/33074668_0.jpeg,33074668_0,multicolor printed silk satin trousers,pants,27.25,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/34393324_0.jpeg,34393324_0,black jewel neck knee length dress,dresses,19.81,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/34412819_1.jpeg,34412819_1,green asymmetric techno ribbed jersey dress,dresses,21.78,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/34435484_3.jpeg,34435484_3,white lace viscose crepe jersey dress,dresses,17.2,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/34435503_0.jpeg,34435503_0,black lace detail viscose crepe jersey dress,dresses,16.7,False
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/34454454_0.jpeg,34454454_0,white print dress,dresses,22.44,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/34689679_0.jpeg,34689679_0,black sheer cutout dress,dresses,20.75,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/35906602_2.jpeg,35906602_2,black v-neck cupro mini slip dress,dresses,15.37,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36004991_0.jpeg,36004991_0,black shine midi tank dress,dresses,20.38,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36118184_0.jpeg,36118184_0,gray petite long beaded gown,dresses,22.85,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36420739_0.jpeg,36420739_0,black floral-print silk-crepe wrap dress,dresses,16.54,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36432259_0.jpeg,36432259_0,blue floral sleeveless v-neck dress,dresses,22.77,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36510465_0.jpeg,36510465_0,gray resort maxi dress,dresses,15.25,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36513023_0.jpeg,36513023_0,pink resort maxi dress,dresses,20.59,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36577221_0.jpeg,36577221_0,black geometric lace skater dress,dresses,23.89,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36784190_0.jpeg,36784190_0,green resort maxi dress,dresses,24.27,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/36879113_0.jpeg,36879113_0,blue cobalt black woven strapless metallic brocade party dress,dresses,19.96,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/37241627_0.jpeg,37241627_0,pink one-shoulder dress,dresses,16.18,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/37264044_0.jpeg,37264044_0,black sleeveless tea length dress,dresses,24.11,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/37417435_0.jpeg,37417435_0,black social jewel halter dress,dresses,19.15,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/37560527_0.jpeg,37560527_0,black eyelet tank dress,dresses,19.43,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/37610855_0.jpeg,37610855_0,purple wrap dress,dresses,16.56,True
https://marqo-tutorial-public.s3.us-west-2.amazonaws.com/fashion/fashion200k/38155629_0.jpeg,38155629_0,black embroidered cotton mesh strapless hi-low dress,dresses,18.13,True
